dimension,pattern,replace,factor_cm,factor_g
length,feet,ft,30.48,
length,foot,ft,30.48,
length,ft,ft,30.48,
length,ft.,ft,30.48,
length,in.,in,2.54,
length,inch,in,2.54,
length,inches,in,2.54,
length,yard,yd,91.44,
length,yards,yd,91.44,
length,yd,yd,91.44,
length,yd.,yd,91.44,
length,yds,yd,91.44,
length,yds.,yd,91.44,
length,centimeters,cm,1,
length,cm,cm,1,
length,cm.,cm,1,
length,decimeters,dm,10,
length,dm,dm,10,
length,dm.,dm,10,
length,m,m,100,
length,m.,m,100,
length,meter,m,100,
length,meters,m,100,
length,metre,m,100,
length,metres,m,100,
length,millimeters,mm,0.1,
length,mm,mm,0.1,
length,mm.,mm,0.1,
length,µm,µm,0.0001,
length,',ft,30.48,
length,’,ft,30.48,
length,"\""",in,2.54,
length,'',in,2.54,
length,in,in,2.54,
length,mi,mi,160934.4,
length,mi.,mi,160934.4,
length,mile,mi,160934.4,
length,miles,mi,160934.4,
length,kilometer,km,100000,
length,kilometers,km,100000,
length,km,km,100000,
length,km.,km,100000,
length,kms,km,100000,
mass,lb,lbs,,453.5924
mass,lb.,lbs,,453.5924
mass,lbs,lbs,,453.5924
mass,lbs.,lbs,,453.5924
mass,ounce,oz,,28.34952
mass,ounces,oz,,28.34952
mass,oz,oz,,28.34952
mass,oz.,oz,,28.34952
mass,ozs,oz,,28.34952
mass,ozs.,oz,,28.34952
mass,pound,lbs,,453.5924
mass,pounds,lbs,,453.5924
mass,g,g,,1
mass,g.,g,,1
mass,gm,g,,1
mass,gm.,g,,1
mass,gms,g,,1
mass,gms.,g,,1
mass,gr,g,,1
mass,gr.,g,,1
mass,grams,g,,1
mass,kg,kg,,1000
mass,kg.,kg,,1000
mass,kilograms,kg,,1000
mass,mg,mg,,0.001
mass,mg.,mg,,0.001
mass,milligrams,mg,,0.001
